"block","item","loading"
"AI_Adoption","AIA1",0.726540736851211
"AI_Adoption","AIA2",0.718422872605358
"AI_Adoption","AIA3",0.723597635931424
"AI_Adoption","AIA4",0.730681156497124
"AI_Adoption","AIA5",0.739098178612684
"Digital_Capability","DC1",0.678267814037565
"Digital_Capability","DC2",0.702344462861348
"Digital_Capability","DC3",0.713434048520604
"Digital_Capability","DC4",0.684036072903751
"Digital_Capability","DC5",0.700350672196264
"Digital_Capability","DC6",0.60387544271879
"Digital_Capability","DC7",0.591149752323167
"Digital_Capability","DC8",0.682781350327319
"Strategic_Decision_Quality","SDQ1",0.692735453708288
"Strategic_Decision_Quality","SDQ2",0.720907906160847
"Strategic_Decision_Quality","SDQ3",0.724164046873165
"Strategic_Decision_Quality","SDQ4",0.707211932323473
"Strategic_Decision_Quality","SDQ5",0.745092805661875
"Innovation_Capability","IC1",0.722447489249525
"Innovation_Capability","IC2",0.666762676973176
"Innovation_Capability","IC3",0.691238504678763
"Innovation_Capability","IC4",0.681547219759976
"Innovation_Capability","IC5",0.638567192238932
"Innovation_Capability","IC6",0.703842875713249
"Innovation_Capability","IC7",0.698901475409244
